Drug,First Times,General,Retrospective / Summary,Preparation / Recipes,Difficult Experiences,Bad Trips,Health Problems,Train Wrecks & Trip Disasters,Addiction & Habituation,Glowing Experiences,Mystical Experiences,Health Benefits,Families,Medical Use,What Was in That?,Second Hand Report,Entities / Beings,Therapeutic Intent or Outcome,Personal Preparation,Pregnancy / Baby,Guides / Sitters,HPPD / Lasting Visuals,Overdose,Video,Performance Enhancement,Loss of Magic,Depression,Post Trip Problems,Music Discussion,Nature / Outdoors,Cultivation / Synthesis,Multi-Day Experience,Poetry,Relationships,Hangover / Days After,Sex Discussion
Cocaine,22.5,22.3,31.3,2.5,8.5,3.6,7.6,4.2,35.5,9.8,0.4,0.4,2,0,0.4,1.3,0.4,0.4,0.7,0,0.4,0.2,4.2,0,0.2,0.4,3.6,3.6,2.2,0,0,4.5,1.8,5.6,8.7,4.7
Morning Glory,44,37,7,19.9,15.1,4.7,11.1,1.6,0,19.6,12,1.4,1.4,0.5,0.7,0,4.5,2.9,2,0,1.1,1.1,1.4,0,0.2,0,1.6,0.9,7,2.5,0,2.3,0,4.5,7.4,2
2C-I,35.6,32.9,6.8,0.2,12.9,2.9,3.4,2.9,0,31.1,4.8,0.5,0,0,0.5,0.9,2.3,1.6,0.5,0,0.5,1.8,2.7,0,0.2,0,1.6,2,9.3,10,0,1.4,0.2,2.9,2.9,5.7
Harmala Alkaloids,17.6,36.3,6.5,19,18.3,2.8,6.9,1.2,0.2,18.1,11.1,1.6,0.2,0,0,0.9,15,2.5,3.7,0,4.2,0.7,2.1,0,0,0,0.7,0.7,4.6,5.6,0,1.6,0.2,1.6,2.3,2.5
Amphetamines,17.3,26.7,28.6,1,11.4,4.9,13.3,2.2,21.2,13.6,1.2,3.2,1.5,7.7,0,0.7,1.5,0.7,0.5,0,0,0.2,2.5,0,4.2,1.2,7.4,4.2,2,0.5,0,10.4,0.2,4.2,14.3,2.5
DMT,34.4,37.8,9.1,3.4,12.2,3.1,0.9,0.9,0,29,21.9,0.9,0.3,0.3,0,0.9,39.2,3.7,2,0,4.8,0.6,0.6,0,0,0,0.6,0.9,4.3,6.8,0.3,2.3,0.6,2.6,2.3,2
Methamphetamine,21.7,17.1,37.5,0.3,7.6,5.9,18.8,4.3,37.5,10.2,1,2,3.3,0.7,0.7,0.7,3,0,0.3,0.3,0.7,1,2.6,0,0.3,3,5.6,11.2,1.3,0.3,0,10.2,1,7.6,13.8,4.9
Syrian Rue,17.1,35.2,6.3,19.4,21.1,3.6,8.2,1.6,0,18.1,9.5,1,0.3,0,0,1.3,15.5,1,4.3,0,2.3,1,3,0,0,0,0.7,0.7,4.3,4.6,0,1.6,0,2,2.6,3
H.B. Woodrose,39.3,36,8.6,8.9,21.8,8.6,7.9,1,0,21.1,9.6,1.7,1.7,0.3,0.3,0,1,3.3,0.7,0,1,0.7,0.3,0,0.3,0,1.3,2,4.6,4.6,0.3,3.3,0.3,5.6,8.6,2.3
5-MeO-DMT,31.2,34.2,12.6,3,21.6,6,6.6,3,1.7,15.3,17.6,1,1.3,0,0.3,2.3,6,2.3,3,0,5,0.7,3.7,0,0,0,1.3,4.7,3.3,3.3,0,1.3,0,1.7,3.3,2
Ketamine,21.5,29.9,10.4,1.3,14.4,5.7,6.7,5,5.7,19.8,11.1,1.3,0.3,0.7,1.3,0.7,9.1,3.7,0.3,0,1.7,0.3,3.7,0,0,0,1.3,3.4,6,1.7,0,1,0.3,1.3,3,1
2C-E,29.3,30.6,12.5,0.3,17.5,3,2,4,1,20.5,5.4,1,0.3,0,0.7,1.3,4.7,4,0.7,0,1,1.7,3,0,0.3,0,1,1.3,6.7,8.4,0,3.4,1,5.1,3,2.4
5-MeO-DiPT,22.7,36,8.4,1.4,13.3,2.8,7.7,4.5,0.3,16.8,2.1,1,0.7,0,0.7,2.1,0.7,0,0.3,0,0.3,1,4.5,0,0,0.3,0.3,1.7,4.2,2.4,0,0.3,0,1.7,3.1,8.7
SSRIs,9.5,16.3,21.6,0.8,17.4,7.2,25,1.9,5.7,3.4,0.4,7.2,0.8,22,0.4,0.4,1.1,2.3,0.4,0,0.4,0.4,4.2,0,0.4,0.4,17.8,7.2,1.5,0.8,0,6.1,0,1.1,10.6,4.2
Cacti,26.4,43.7,6.9,25.3,9.2,0.8,1.9,0,0,27.2,11.1,1.9,0.4,0.4,0.4,0,6.5,0.8,4.2,0,1.1,0.4,0,0,0,0,1.5,0.8,5.7,12.6,0.8,1.1,0.4,3.4,2.7,2.3
Nitrous Oxide,16.1,28.5,14.5,1.2,5.6,4,9.2,2.4,5.6,22.1,12.9,4,0.4,1.6,0,0.8,6.8,0.8,0.8,0,1.2,1.6,0.4,0,0,0.4,0.8,6,5.2,2,0,1.6,0,3.6,3.2,3.6
AMT,38.3,30,7.8,1.2,17.7,4.9,14,4.5,1.2,25.1,1.6,0.8,0.4,0,0.8,2.5,1.6,0.4,0.4,0,0.8,0.4,4.9,0,0,0,0.4,2.5,4.9,4.1,0,2.9,0,0.8,7.8,2.1
NBOMe Series,38.8,31.8,4.1,0,16.9,6.6,3.7,7.9,0.4,20.2,1.7,0,1.2,0,1.7,2.1,2.9,4.5,0.4,0,1.2,2.1,5.8,0,0,0,2.1,1.7,5.8,11.2,0,0.4,0.4,1.7,5,1.2
Nutmeg,41.3,49.6,10,9.6,17.5,4.2,10.4,0.8,0,7.1,2.9,0.8,0.4,0,0,0,0.4,0,0.4,0,0,0.8,3.3,0,0.4,0,0.4,3.3,4.2,2.1,0,12.1,0,0.8,20.8,2.9
Kratom,26.7,37.3,16.9,9.3,5.9,0.4,5.1,0.4,13.6,11.9,2.1,8.9,0,2.5,0,0.8,0.8,3.4,0.4,0,0.4,0,0.8,0,0,0,2.5,1.3,4.2,0.4,0,3.8,0,0,10.2,0
2C-B,21.1,35.8,7.8,0,16.8,2.6,4.7,3,0,20.3,3.9,0.4,0.4,0,1.3,0.9,6,0.9,1.7,0,0.9,0,4.7,0,0,0.4,0.4,2.2,7.8,7.3,0.4,2.6,0,3.9,1.7,5.6
Datura,39.7,35.4,11.4,6.1,28.4,7.4,8.3,17,0.4,3.1,3.5,3.1,1.3,1.3,0.9,4.8,27.1,0.4,0.9,0,2.6,1.3,2.2,0,0,0,1.7,11.8,0.9,2.6,0,7,0,0.9,9.6,0
Diphenhydramine,27.1,37.3,9.8,0.4,21.3,9.8,14.7,8.9,4.9,1.3,0,1.3,0.4,1.3,0.4,0.9,7.6,0.4,0.9,0.4,0.4,2.7,7.6,0,0,0,1.8,8.4,2.2,0.4,0,1.8,0,0,17.8,4
Benzodiazepines,14.9,28.8,20.7,1,9.6,4.3,10.6,12.5,13,5.3,1.4,6.7,4.8,4.3,0.5,0.5,2.4,1.4,1,0.5,1,0,10.1,0,1,0,5.8,2.4,2.4,1,0,6.7,0.5,5.3,8.2,2.9
Pharms - Oxycodone,15,26.6,31.4,2.9,6.8,1.4,10.1,1.9,29,14,1.4,0.5,1,5.8,0,0,0,0,0.5,0,0.5,0,4.3,0,0,0.5,5.8,2.9,1,0,0,4.3,1.4,3.4,11.6,0.5
2C-T-7,28.4,32.4,7.8,1.5,27,5.4,12.3,6.9,0,19.1,3.4,0,0,0,1.5,1,2.9,0,0,0,1,1,8.8,0,0,0,0.5,2.5,4.4,5.4,0,1,0,0.5,0.5,2.5
Pharms - Tramadol,16.3,14.3,33,0.5,5.4,0.5,11.3,2,20.7,8.4,0,9.4,0,10.8,0,2,0,1.5,0,0,0,0,1.5,0,0,0,3.9,2,2,0.5,0,2,0,0,5.9,4.4
Ayahuasca,25,45.5,6.5,16.5,22,1.5,4.5,2,0,22,26,4,0,0,0,1.5,31.5,9,3.5,0,14.5,1,0,0.5,0,0,1.5,1,8,7.5,0,5,0.5,3,1,2
Amanitas,25.4,40.2,7.9,10.1,14.8,6.9,7.4,3.7,0,7.4,9,0,0,0,0,1.1,4.2,0.5,1.1,0,2.6,1.1,7.4,0,0,0,0,1.6,1.6,3.7,0,2.6,0,0,4.8,1.6
Caffeine,4.9,31.9,14.6,3.8,29.7,9.2,24.3,6.5,11.9,4.3,0.5,3.8,0.5,0.5,0,0,0,0,0.5,0.5,0,0,15.1,0,1.1,0,1.6,3.8,1.1,0,0,5.9,0,0.5,11.4,2.2
DPT,24,43.7,7.7,3.3,20.8,1.6,7.1,3.3,0,25.1,7.1,1.1,1.6,0,0,0,12,0,0.5,0,2.2,0.5,3.8,0,0.5,0,0.5,2.2,8.2,7.1,0,0.5,0.5,0.5,1.6,2.7
Dimenhydrinate,37.9,46.7,12.6,0.5,22.5,8.2,11,12.1,4.9,1.1,0.5,0,3.3,1.1,0,0,8.2,0,0,0,2.2,4.4,1.6,0,0,0,1.6,7.7,4.9,0,0,2.7,0.5,0.5,18.1,1.1
Heroin,18.8,11,33.1,3.9,8.8,4.4,8.3,8.3,46.4,11.6,0.6,1.1,2.2,2.8,0.6,1.7,0.6,0.6,1.1,0,2.2,0,9.4,0,0,0.6,3.9,3.9,1.7,0,0,2.8,2.2,5,5.5,1.1
Hydrocodone,21.2,25.9,16.5,1.8,4.7,3.5,12.4,1.2,17.1,21.2,1.2,5.9,0.6,6.5,0,0.6,0.6,0.6,1.2,0,1.2,0,2.4,0,0,0,4.1,0.6,4.1,0,0,2.9,0.6,2.4,9.4,2.4
Kava,20.4,35.8,14.2,19.1,3.1,0.6,4.9,0.6,0.6,14.2,1.2,11.1,0,1.9,0,0,0.6,0,0.6,0,0,0,1.9,0,0,0,1.2,0,2.5,1.2,0,1.9,0,0.6,3.7,2.5
2C-T-2,32,39.2,7.8,1.3,19,2.6,5.2,2,1.3,21.6,2.6,3.3,0.7,0,0.7,0,1.3,2.6,0.7,0,3.3,0,2,0,0.7,0,0.7,1.3,12.4,5.2,0,0,1.3,0.7,4.6,0.7
Inhalants,22.1,32.2,32.2,0,9.4,9.4,26.8,6.7,12.1,2.7,4.7,0.7,0.7,0,1.3,3.4,9.4,0,0,0,1.3,1.3,6,0,0,0.7,6,15.4,2,1.3,0,1.3,0,0.7,5.4,0.7
GHB,7.5,14.3,18.4,0.7,12.9,2,28.6,18.4,17,6.1,0.7,4.1,0,2.7,0,2.7,2.7,0.7,0,0.7,0,0.7,24.5,0,0,0,2.7,6.8,2,0.7,0,0.7,0,0,5.4,4.1
Pharms - Zolpidem,15.6,37.4,15.6,0,4.8,0.7,4.8,17.7,8.2,2.7,1.4,3.4,0.7,6.8,0,2.7,3.4,1.4,0,0,0,0.7,6.8,0,0,0,2.7,4.1,1.4,0.7,0,2,0,1.4,6.8,2
Codeine,16.8,32.2,21.7,9.1,11.9,2.1,7,0.7,7.7,5.6,0.7,2.8,0,6.3,0,0.7,0.7,0,0,0,0.7,0,4.9,0,0,0,2.8,0.7,3.5,0,0,0.7,0.7,0.7,5.6,1.4
Mimosa spp.,19.7,43,6.3,23.9,30.3,2.1,3.5,1.4,0,16.9,14.8,1.4,0,0,0,2.1,20.4,4.2,4.9,0,2.1,0,1.4,0,0,0,0.7,0.7,4.9,4.9,0.7,0.7,0,2.8,1.4,0.7
25I-NBOMe,34.3,29.1,3,0,20.1,8.2,4.5,10.4,0.7,23.9,1.5,0,2.2,0,2.2,3,3,2.2,0.7,0,1.5,3,8.2,0,0,0,1.5,2.2,7.5,12.7,0,0.7,0,3,6,1.5
Tobacco,18.6,33.3,15.5,3.1,10.1,3.9,13.2,1.6,20.2,10.1,2.3,7.8,0,3.1,0,0,0,2.3,0.8,0,0.8,0,1.6,0,0,0,3.9,0,2.3,0,0,0.8,0.8,0,3.1,1.6
AB-FUBINACA,33.1,19.7,17.3,0,27.6,15,11.8,2.4,4.7,7.1,0.8,0,0,0.8,2.4,0.8,1.6,0.8,0.8,0,0,0,11,0,2.4,0,1.6,3.1,0.8,1.6,0,1.6,0,0,7.1,0.8
Methylone,20.5,29.9,15.7,0,7.1,0.8,3.9,0.8,2.4,27.6,0,1.6,0.8,0.8,0.8,0.8,0,0.8,0,0,0,0,1.6,0,0,2.4,1.6,2.4,3.9,3.9,0,3.1,0,0.8,6.3,6.3
Cannabinoid Receptor Agonists,16.8,28,24,3.2,18.4,21.6,10.4,7.2,5.6,8.8,0,0.8,0,4,0,1.6,0.8,2.4,0,0,0,0,24.8,0,0.8,0,0,0.8,2.4,1.6,0,2.4,0,0,6.4,1.6
Products - Spice and Synthetic Cannabinoids,32.8,19.2,17.6,0,28,15.2,12,2.4,4.8,7.2,0.8,0,0,0.8,2.4,0.8,1.6,0.8,0.8,0,0,0,11.2,0,2.4,0,1.6,3.2,0.8,1.6,0,1.6,0,0,7.2,0.8
Pharms - Methylphenidate,12.2,34.1,30.1,1.6,5.7,5.7,9.8,1.6,19.5,8.9,0,4.1,3.3,6.5,0.8,0.8,0,0.8,0,0,0,0,6.5,0,0.8,0.8,10.6,5.7,3.3,0,0,4.1,0,1.6,10.6,1.6
Pharms - Alprazolam,12.4,26.4,22.3,0,9.9,3.3,12.4,14.9,12.4,4.1,0.8,9.1,6.6,1.7,0.8,0.8,0.8,2.5,0,0.8,0,0,13.2,0,1.7,0,5.8,0.8,0.8,0,0,5.8,0.8,4.1,6.6,4.1
5-MeO-AMT,27.4,32.5,12,3.4,23.9,3.4,13.7,4.3,3.4,7.7,0.9,0,0,0,1.7,4.3,0.9,0,1.7,0,1.7,1.7,7.7,0,0,0,0,3.4,4.3,0.9,0,5.1,0,0,5.1,2.6
Pharms - Venlafaxine,5.1,6,28.2,0,12.8,2.6,26.5,4.3,22.2,3.4,0,12.8,1.7,37.6,0,0,0,0.9,0,0,0,1.7,0.9,0,0,0,30.8,7.7,0,0,0,4.3,0,0.9,16.2,4.3
Pharms - Bupropion,5.2,20.9,13.9,0,20.9,12.2,24.3,9.6,5.2,3.5,0,7.8,0.9,13.9,0,0.9,0.9,0,0,0,1.7,0,11.3,0,0,0,9.6,2.6,1.7,0.9,0,4.3,0,1.7,9.6,3.5
Anadenanthera spp.,28.4,50.5,13.8,33,18.3,0,3.7,0,0,10.1,4.6,2.8,0,0,0,0,8.3,1.8,1.8,0,0,0,1.8,0,0,0,0,0,4.6,0.9,0,0.9,0,1.8,1.8,0.9
Pharms - Paroxetine,6.5,14.8,26.9,0,17.6,5.6,27.8,0.9,10.2,4.6,0,9.3,0.9,24.1,0,0.9,0.9,0,0,0,0,0.9,1.9,0,0,0.9,20.4,8.3,0,0.9,0,4.6,0,0,9.3,4.6
Modafinil,11.4,34.3,37.1,0,4.8,0,6.7,2.9,7.6,6.7,1,12.4,1,13.3,0,0,0,4.8,0,0,0,0,2.9,0,5.7,0,7.6,1,0,0,0,3.8,0,1.9,3.8,1.9
4-AcO-DMT,25.5,42.2,2.9,1,18.6,3.9,2.9,2,0,26.5,5.9,0,2,0,0,0,8.8,8.8,1,0,2,1,2.9,0,0,1,1,0,9.8,14.7,0,1,1,9.8,2,2.9
