Drug,Difficult Experiences,Bad Trips,Health Problems,Train Wrecks & Trip Disasters,Addiction & Habituation,Glowing Experiences,Mystical Experiences,Health Benefits,Medical Use,Entities / Beings,Therapeutic Intent or Outcome,Post Trip Problems
Datura,28.4,7.4,8.3,17,0.4,3.1,3.5,3.1,1.3,27.1,0.4,11.8
Diphenhydramine,21.3,9.8,14.7,8.9,4.9,1.3,0,1.3,1.3,7.6,0.4,8.4
Benzodiazepines,9.6,4.3,10.6,12.5,13,5.3,1.4,6.7,4.3,2.4,1.4,2.4
Pharms - Oxycodone,6.8,1.4,10.1,1.9,29,14,1.4,0.5,5.8,0,0,2.9
2C-T-7,27,5.4,12.3,6.9,0,19.1,3.4,0,0,2.9,0,2.5
Pharms - Tramadol,5.4,0.5,11.3,2,20.7,8.4,0,9.4,10.8,0,1.5,2
Ayahuasca,22,1.5,4.5,2,0,22,26,4,0,31.5,9,1
Amanitas,14.8,6.9,7.4,3.7,0,7.4,9,0,0,4.2,0.5,1.6
Caffeine,29.7,9.2,24.3,6.5,11.9,4.3,0.5,3.8,0.5,0,0,3.8
DPT,20.8,1.6,7.1,3.3,0,25.1,7.1,1.1,0,12,0,2.2
Dimenhydrinate,22.5,8.2,11,12.1,4.9,1.1,0.5,0,1.1,8.2,0,7.7
Heroin,8.8,4.4,8.3,8.3,46.4,11.6,0.6,1.1,2.8,0.6,0.6,3.9
Hydrocodone,4.7,3.5,12.4,1.2,17.1,21.2,1.2,5.9,6.5,0.6,0.6,0.6
Kava,3.1,0.6,4.9,0.6,0.6,14.2,1.2,11.1,1.9,0.6,0,0
2C-T-2,19,2.6,5.2,2,1.3,21.6,2.6,3.3,0,1.3,2.6,1.3
Inhalants,9.4,9.4,26.8,6.7,12.1,2.7,4.7,0.7,0,9.4,0,15.4
GHB,12.9,2,28.6,18.4,17,6.1,0.7,4.1,2.7,2.7,0.7,6.8
Pharms - Zolpidem,4.8,0.7,4.8,17.7,8.2,2.7,1.4,3.4,6.8,3.4,1.4,4.1
Codeine,11.9,2.1,7,0.7,7.7,5.6,0.7,2.8,6.3,0.7,0,0.7
Mimosa spp.,30.3,2.1,3.5,1.4,0,16.9,14.8,1.4,0,20.4,4.2,0.7
25I-NBOMe,20.1,8.2,4.5,10.4,0.7,23.9,1.5,0,0,3,2.2,2.2
Tobacco,10.1,3.9,13.2,1.6,20.2,10.1,2.3,7.8,3.1,0,2.3,0
AB-FUBINACA,27.6,15,11.8,2.4,4.7,7.1,0.8,0,0.8,1.6,0.8,3.1
Methylone,7.1,0.8,3.9,0.8,2.4,27.6,0,1.6,0.8,0,0.8,2.4
Cannabinoid Receptor Agonists,18.4,21.6,10.4,7.2,5.6,8.8,0,0.8,4,0.8,2.4,0.8
Products - Spice and Synthetic Cannabinoids,28,15.2,12,2.4,4.8,7.2,0.8,0,0.8,1.6,0.8,3.2
Pharms - Methylphenidate,5.7,5.7,9.8,1.6,19.5,8.9,0,4.1,6.5,0,0.8,5.7
Pharms - Alprazolam,9.9,3.3,12.4,14.9,12.4,4.1,0.8,9.1,1.7,0.8,2.5,0.8
5-MeO-AMT,23.9,3.4,13.7,4.3,3.4,7.7,0.9,0,0,0.9,0,3.4
Pharms - Venlafaxine,12.8,2.6,26.5,4.3,22.2,3.4,0,12.8,37.6,0,0.9,7.7
Pharms - Bupropion,20.9,12.2,24.3,9.6,5.2,3.5,0,7.8,13.9,0.9,0,2.6
Anadenanthera spp.,18.3,0,3.7,0,0,10.1,4.6,2.8,0,8.3,1.8,0
Pharms - Paroxetine,17.6,5.6,27.8,0.9,10.2,4.6,0,9.3,24.1,0.9,0,8.3
Modafinil,4.8,0,6.7,2.9,7.6,6.7,1,12.4,13.3,0,4.8,1
4-AcO-DMT,18.6,3.9,2.9,2,0,26.5,5.9,0,0,8.8,8.8,0
