Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender
30219,Inhalants,"Health Problems,Post Trip Problems,Hangover / Days After",,Not Applicable,,,Male
15295,"Cocaine,Methamphetamine,Various","Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male
61485,2C-B,General,Drug Testing,Not Applicable,,,Male
7588,Cannabis,"Preparation / Recipes,Cultivation / Synthesis",,Not Applicable,,,Male
95760,Kratom,Preparation / Recipes,,Not Applicable,,,Not-Specified
57805,"Naloxone,Pharms - Buprenorphine",Medical Use,,Not Applicable,,,Male
87443,LSD,Health Benefits,Migraines,Not Applicable,,,Male
84876,"Alcohol,Amphetamines,Cocaine,Ketamine,LSD,MDMA,Pharms - Mirtazapine,Various",Combinations,,Not Applicable,,,Male
85359,"Amphetamines,Caffeine","Combinations,Performance Enhancement",,Not Applicable,,,Male
78897,"Opiates,Poppies - Opium",Preparation / Recipes,,Not Applicable,,,Male
84217,"Benzodiazepines,Cannabis,Pharms - Diazepam",Combinations,,Not Applicable,,,Male
83347,Cannabis,"Health Benefits,Medical Use,Therapeutic Intent or Outcome",,Not Applicable,,,Male
14700,Methamphetamine,Addiction & Habituation,,Not Applicable,,,Male
12606,Cannabis,Preparation / Recipes,,Not Applicable,,,Not-Specified
24896,Salvia divinorum,"Preparation / Recipes,Cultivation / Synthesis",,Not Applicable,,,Not-Specified
25609,Kava,Preparation / Recipes,,Not Applicable,,,Male
12312,DXM,Retrospective / Summary,,Not Applicable,,,Male
77890,"H.B. Woodrose,Various","Combinations,Retrospective / Summary",,Not Applicable,oral,,Male
85592,Kratom,"Retrospective / Summary,Preparation / Recipes",,Not Applicable,oral,,Male
81732,"Cannabis,Mandrake","Retrospective / Summary,Preparation / Recipes",,Not Applicable,oral,,Male
87365,Aniracetam,"Combinations,Retrospective / Summary",,Not Applicable,oral,,Male
24146,DXM,Retrospective / Summary,,Not Applicable,oral,,Male
39923,DXM,"Retrospective / Summary,Bad Trips,Health Problems,Hangover / Days After",,Not Applicable,oral,,Male
64901,Pharms - Venlafaxine,"Combinations,Health Benefits,Medical Use,Depression",,Not Applicable,oral,,Male
51901,DXM,"Retrospective / Summary,Health Problems,Train Wrecks & Trip Disasters,Addiction & Habituation,Second Hand Report,Post Trip Problems,Overdose,Relationships",,Not Applicable,oral,,Male
34438,Dimenhydrinate,"Retrospective / Summary,Music Discussion",,Alone,oral,,Male
86850,Kratom,"Retrospective / Summary,Preparation / Recipes,Health Benefits,Medical Use,Multi-Day Experience",,Not Applicable,oral,,Male
72063,"Amphetamines,Lisdexamfetamine","Retrospective / Summary,Glowing Experiences,Medical Use,Multi-Day Experience,Therapeutic Intent or Outcome",,Not Applicable,oral,,Male
62946,Pharms - Mirtazapine,"Combinations,Retrospective / Summary,Medical Use,Depression",,Not Applicable,oral,,Male
63623,Amphetamines,"General,Retrospective / Summary,Addiction & Habituation,Multi-Day Experience,Performance Enhancement",,Not Applicable,oral,,Female
70037,"Morning Glory,Turbina corymbosa","Combinations,Preparation / Recipes",,Not Applicable,oral,,Male
61401,Pharms - Quetiapine,Retrospective / Summary,,Not Applicable,oral,,Male
65891,"Codeine,Opiates","Retrospective / Summary,Preparation / Recipes,Hangover / Days After",,Not Applicable,oral,,Not-Specified
32598,"Opioids,Pharms - Oxycodone","General,Retrospective / Summary,Addiction & Habituation,Multi-Day Experience,Hangover / Days After",,Not Applicable,oral,,Male
45392,"Codeine,Opiates,Pharms - Cyclobenzaprine,Pharms - Tramadol","Retrospective / Summary,Hangover / Days After",,Not Applicable,oral,,Male
45096,Amphetamines,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,oral,,Female
57584,GBL,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,oral,,Male
44545,"Methadone,Opioids","Retrospective / Summary,Depression,Relationships,Hangover / Days After",,Not Applicable,oral,,Male
60858,"Opiates,Poppies - Opium","Retrospective / Summary,Preparation / Recipes",,Not Applicable,oral,,Male
65390,"Heroin,Methadone,Opiates,Opioids,Pharms - Methylphenidate","Combinations,Retrospective / Summary,Addiction & Habituation,Medical Use,Depression",,Not Applicable,oral,,Male
54714,Pharms - Buprenorphine,"Glowing Experiences,Medical Use,Depression",,Not Applicable,oral,,Male
53486,"Ayahuasca,Harmala Alkaloids,Mimosa spp.,Syrian Rue","General,Combinations,Retrospective / Summary",,Alone,oral,,Male
26488,"Amphetamines,Pharms - Methylphenidate","Retrospective / Summary,Addiction & Habituation,Health Benefits,Families,Medical Use,Relationships,Hangover / Days After",,Not Applicable,oral,,Male
40971,Morning Glory,Preparation / Recipes,,Not Applicable,oral,,Male
9401,Nutmeg,First Times,,Alone,oral,,Female
54547,"Pharms - Paroxetine,SSRIs",Glowing Experiences,,Not Applicable,oral,,Female
52519,"DXM,Pharmaceuticals,Pharms - Bupropion","Combinations,Health Problems,Hangover / Days After,Sex Discussion",,Unknown Context,oral,,Male
86965,DXM,General,Drug Testing,Unknown Context,oral,,Male
74376,"Pharmaceuticals,Pharms - Zolpidem","Combinations,Medical Use,Hangover / Days After",,Not Applicable,oral,,Female
68427,Pharms - Zolpidem,"Health Problems,Multi-Day Experience,Post Trip Problems",,Not Applicable,oral,,Male
79951,"DXM,Pharmaceuticals,Pharms - Fluoxetine,SSRIs","Health Problems,Multi-Day Experience,Depression,Post Trip Problems,Hangover / Days After",,Not Applicable,oral,,Male
77806,"Alcohol,Naltrexone","Combinations,Addiction & Habituation,Medical Use",,Not Applicable,oral,,Female
56602,Pharms - Mirtazapine,"Retrospective / Summary,Health Benefits,Medical Use,Depression,Sex Discussion",,Not Applicable,oral,,Male
57816,Pharms - Mirtazapine,"Retrospective / Summary,Medical Use,Depression",,Not Applicable,oral,,Male
31294,Pharms - Venlafaxine,"Retrospective / Summary,Difficult Experiences,Medical Use,Multi-Day Experience,Depression,Hangover / Days After",,Not Applicable,oral,,Male
26996,Pharms - Venlafaxine,"Medical Use,Depression",,Not Applicable,oral,,Male
64971,Pharms - Venlafaxine,"Retrospective / Summary,Health Problems,Medical Use,Multi-Day Experience,Depression,Hangover / Days After",,Not Applicable,oral,,Female
61077,"Pharms - Venlafaxine,Various","Combinations,Retrospective / Summary,Depression",,Not Applicable,oral,,Female
50448,Pharms - Venlafaxine,"Retrospective / Summary,Health Problems,Health Benefits,Medical Use,Multi-Day Experience,Hangover / Days After",,Not Applicable,oral,,Female
46070,DHEA,"Retrospective / Summary,Health Problems,Performance Enhancement,Hangover / Days After",,Not Applicable,oral,,Male
45839,Nutmeg,"Retrospective / Summary,Health Benefits",,Not Applicable,oral,,Not-Specified
30629,"Pharms - Citalopram,Pharms - Escitalopram,SSRIs","Retrospective / Summary,Medical Use,Depression",,Not Applicable,oral,,Male
64709,Dimenhydrinate,"Retrospective / Summary,Addiction & Habituation,Sex Discussion",,Not Applicable,oral,,Female
68320,Yerba Mate,General,,Small Group (2-9),oral,,Male
77422,Pharms - Aripiprazole,"First Times,Difficult Experiences,Bad Trips,Medical Use",Endogenous,Alone,oral,,Male
79824,"2C-E,Benzodiazepines,Pharms - Diazepam",Combinations,,Alone,oral,,Male
83251,DXM,General,Drug Testing,Hospital,oral,,Female
83146,"DXM,Pharms - Tramadol","Combinations,Health Problems",,Unknown Context,oral,,Male
51446,Kava,Retrospective / Summary,,Not Applicable,oral,,Male
61736,"Alcohol,Kava","Combinations,Health Problems",,Large Group (10+),oral,,Male
53495,Kava,"Health Problems,Multi-Day Experience",,Not Applicable,oral,,Male
63550,"Kava,Pharms - Tramadol","Combinations,Health Benefits",,Not Applicable,oral,,Male
68676,Diphenhydramine,Addiction & Habituation,,Not Applicable,oral,,Female
68565,"Acetaminophen,Diphenhydramine,MDMA","Health Benefits,Hangover / Days After",,Not Applicable,oral,,Male
77774,"Benzodiazepines,Diphenhydramine",General,Drug Testing,Not Applicable,oral,,Female
39635,Barbiturates,"Retrospective / Summary,Addiction & Habituation,Hangover / Days After",,Not Applicable,oral,,Not-Specified
33756,LSD,"Retrospective / Summary,Mystical Experiences,Relationships",,Not Applicable,oral,,Male
65670,Cacti,Preparation / Recipes,,Not Applicable,oral,,Male
30715,Diphenhydramine,"General,Retrospective / Summary",,Not Applicable,oral,,Male
16882,Mushrooms,"Health Benefits,Medical Use",Migraines,Not Applicable,oral,,Male
25708,"Opiates,Poppies - Opium",Preparation / Recipes,,Not Applicable,oral,,Male
40359,"Chlorpheniramine Maleate,DXM","Health Problems,Addiction & Habituation,HPPD / Lasting Visuals,Post Trip Problems",,Not Applicable,oral,,Male
65006,DXM,General,Drug Testing,Not Applicable,oral,,Male
46958,LSD,"Health Problems,HPPD / Lasting Visuals,Post Trip Problems",,Not Applicable,oral,,Male
12749,Amphetamines,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,oral,,Female
11052,"Benzodiazepines,Pharms - Diazepam","Combinations,Retrospective / Summary,Addiction & Habituation",,Various,oral,,Male
32158,Ayahuasca,Preparation / Recipes,,Not Applicable,oral,,Male
9850,"Pharmaceuticals,Pharms - Sertraline,SSRIs","General,Health Problems",,School,oral,,Male
22108,Calea zacatechichi,Glowing Experiences,Dreams,Alone,oral,,Male
11982,DXM,Difficult Experiences,,Small Group (2-9),oral,,Female
88254,"Kratom,Pharmaceuticals,Pharms - Sertraline,SSRIs","Health Benefits,Multi-Day Experience",,Not Applicable,oral,,Male
86474,Pharms - Escitalopram,Medical Use,,Not Applicable,oral,,Not-Specified
64589,Pharms - Mirtazapine,"Retrospective / Summary,Difficult Experiences,Medical Use,Depression",,Not Applicable,oral,,Male
69774,Pharms - Mirtazapine,"Retrospective / Summary,Medical Use,Multi-Day Experience",,Not Applicable,oral,,Female
69742,Diphenhydramine,"Health Problems,Post Trip Problems",,Unknown Context,oral,,Male
69088,Yerba Mate,"Retrospective / Summary,Glowing Experiences",,Not Applicable,oral,,Male
68241,Diphenhydramine,"Addiction & Habituation,HPPD / Lasting Visuals,Post Trip Problems",,Not Applicable,oral,,Male
83033,"Benzodiazepines,Pharmaceuticals,Pharms - Alprazolam,Pharms - Pregabalin","Combinations,Health Problems,Addiction & Habituation,Health Benefits",,Not Applicable,oral,,Male
62493,Milk Thistle,"Retrospective / Summary,Multi-Day Experience,Therapeutic Intent or Outcome",,Not Applicable,oral,,Male
61986,"Alcohol,Milk Thistle","General,Retrospective / Summary,Health Benefits,Hangover / Days After",,Not Applicable,oral,,Male
43552,Amphetamines,Health Problems,,Not Applicable,oral,,Female
40709,DXM,"General,Medical Use",Drug Testing,Not Applicable,oral,,Male
22223,"Chlorpheniramine Maleate,DXM","Health Problems,Addiction & Habituation,Post Trip Problems",,Not Applicable,oral,,Not-Specified
49504,DXM,General,Drug Testing,Not Applicable,oral,,Male
56727,DXM,General,Drug Testing,Unknown Context,oral,,Male
44396,Cacti,Preparation / Recipes,,Unknown Context,oral,,Male
9815,Nutmeg,Retrospective / Summary,,Various,oral,,Male
13856,DXM,General,,Unknown Context,oral,,Male
12273,Dimenhydrinate,"Retrospective / Summary,Difficult Experiences",,Small Group (2-9),oral,,Male
80880,DMT,"Retrospective / Summary,Glowing Experiences,Mystical Experiences,Entities / Beings",,Not Applicable,smoked,,Male
10845,"Cacti,Mushrooms","General,Preparation / Recipes,Personal Preparation,Nature / Outdoors",,Small Group (2-9),"oral,smoked",,Male
83535,Salvia divinorum,"Retrospective / Summary,Multi-Day Experience,Depression,Music Discussion,Sex Discussion",,Not Applicable,smoked,,Female
89016,Salvia divinorum,Retrospective / Summary,,Alone,smoked,,Male
67027,Cannabis,Preparation / Recipes,,Not Applicable,smoked,,Male
84869,Salvia divinorum,"Combinations,Retrospective / Summary,Mystical Experiences,Entities / Beings",,Not Applicable,smoked,,Male
78904,"Cacti,Cannabis,Damiana,Harmala Alkaloids,Passion Flower,Wormwood","Combinations,Retrospective / Summary,Preparation / Recipes",,Not Applicable,smoked,,Male
61835,"Cannabis,Opiates,Opium","Combinations,Retrospective / Summary,Addiction & Habituation,Hangover / Days After",,Not Applicable,smoked,,Male
53161,Datura,"Retrospective / Summary,Relationships",,Not Applicable,"oral,smoked",,Male
52164,Salvia divinorum,"Retrospective / Summary,Relationships",,Large Group (10+),smoked,,Male
35607,Salvia divinorum,"General,Retrospective / Summary",,Not Applicable,smoked,,Male
22514,Methamphetamine,"Retrospective / Summary,Addiction & Habituation,Relationships",,Not Applicable,smoked,,Male
9617,Methamphetamine,"Retrospective / Summary,Addiction & Habituation,Relationships",,Various,smoked,,Female
17206,Cannabis,Difficult Experiences,,Small Group (2-9),smoked,,Female
16278,Mushrooms,"General,Bad Trips",,Festival / Lg. Crowd,"oral,smoked",,Male
66671,Salvia divinorum,Retrospective / Summary,,Not Applicable,smoked,,Male
86387,"AB-FUBINACA,Products - Spice and Synthetic Cannabinoids","Combinations,Retrospective / Summary",,Not Applicable,smoked,,Male
65136,Salvia divinorum,"Retrospective / Summary,Entities / Beings",,Not Applicable,smoked,,Male
77389,"DMT,Mimosa spp.",Retrospective / Summary,,Alone,smoked,,Male
84719,"DMT,Mimosa spp.",Retrospective / Summary,,Not Applicable,smoked,,Male
55726,Cannabis,"General,Retrospective / Summary",Drug Testing,Not Applicable,smoked,,Male
45126,Methamphetamine,Retrospective / Summary,,Not Applicable,smoked,,Male
37208,"Alcohol,Cannabis,Pharms - Paroxetine,SSRIs",Combinations,,Not Applicable,"oral,smoked",,Female
44512,Salvia divinorum,"Retrospective / Summary,Entities / Beings",,Not Applicable,smoked,,Male
26492,Methamphetamine,Addiction & Habituation,,Not Applicable,smoked,,Male
44155,"Cannabis,Pharms - Cyclobenzaprine","Retrospective / Summary,Health Benefits,Medical Use",,Not Applicable,smoked,,Female
21133,Salvia divinorum,"General,First Times,Retrospective / Summary",,Small Group (2-9),smoked,,Male
24266,Salvia divinorum,"First Times,Entities / Beings",,Small Group (2-9),smoked,,Male
52470,"Heroin,Opiates",Retrospective / Summary,,Various,smoked,,Female
18342,"Cannabis,Ephedrine","Combinations,Retrospective / Summary,Health Problems",,Not Applicable,"oral,smoked",,Male
8877,Cannabis,"Retrospective / Summary,Difficult Experiences,Post Trip Problems",,Small Group (2-9),smoked,,Female
65395,Pharms - Quetiapine,Retrospective / Summary,,Not Applicable,"oral,smoked",,Male
76703,Cannabis,"Health Benefits,Depression,Therapeutic Intent or Outcome",,Not Applicable,smoked,,Male
84039,"Cannabinoid Receptor Agonists,JWH-018","Retrospective / Summary,Multi-Day Experience",,Not Applicable,smoked,,Male
37644,Methamphetamine,Retrospective / Summary,,Not Applicable,smoked,,Male
33884,Cannabis,"Retrospective / Summary,Addiction & Habituation,Loss of Magic",,Not Applicable,smoked,,Male
33281,Cannabis,"General,Health Problems,Music Discussion",,Not Applicable,smoked,,Male
35557,Salvia divinorum,"Retrospective / Summary,Health Problems,Addiction & Habituation,Health Benefits,Multi-Day Experience",,Not Applicable,smoked,,Male
62111,"Alcohol,Various",Retrospective / Summary,,Not Applicable,"oral,smoked",,Male
44484,Salvia divinorum,Retrospective / Summary,,Various,smoked,,Male
8130,Cannabis,Difficult Experiences,,Alone,smoked,,Male
57348,"Cannabis,Pharms - Mirtazapine",Combinations,,Alone,"oral,smoked",,Male
83082,Lactuca spp.,Preparation / Recipes,,Not Applicable,smoked,,Male
23412,Cannabis,Preparation / Recipes,Drug Testing,Not Applicable,smoked,,Male
63069,Cannabis,General,Drug Testing,Not Applicable,smoked,,Female
10637,Calea zacatechichi,"General,Glowing Experiences",Dreams,Alone,smoked,,Not-Specified
65420,Inhalants - Nitrites,"Retrospective / Summary,Sex Discussion",,Not Applicable,inhaled,,Male
55061,Nitrous Oxide,"Retrospective / Summary,Glowing Experiences",,Not Applicable,inhaled,,Male
60559,Nitrous Oxide,"Health Problems,Post Trip Problems",,Not Applicable,inhaled,,Male
58431,Nitrous Oxide,"Health Problems,Hangover / Days After",,Large Group (10+),"oral,smoked,inhaled",,Female
52871,Ether,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,inhaled,,Male
21998,Nitrous Oxide,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,inhaled,,Not-Specified
12731,Inhalants,"General,Overdose",,Small Group (2-9),inhaled,,Male
9475,Inhalants,Bad Trips,,Alone,inhaled,,Female
46053,Cocaine,Addiction & Habituation,,Not Applicable,insufflated,,Male
25468,Methamphetamine,"General,Addiction & Habituation",,Not Applicable,insufflated,,Female
72041,"Opioids,Pharms - Oxycodone","Retrospective / Summary,Glowing Experiences",,Not Applicable,insufflated,,Male
65111,"Naloxone,Pharms - Buprenorphine","Retrospective / Summary,Medical Use",,Not Applicable,"oral,insufflated",,Male
45205,Cocaine,"Addiction & Habituation,Relationships,Hangover / Days After,Sex Discussion",,Not Applicable,insufflated,,Female
29259,Cocaine,"Retrospective / Summary,Health Benefits",,Not Applicable,insufflated,,Male
61216,"Heroin,Opiates,Opioids,Pharms - Oxycodone","Retrospective / Summary,Addiction & Habituation,Relationships",,Not Applicable,insufflated,,Male
54509,Cocaine,"Addiction & Habituation,Multi-Day Experience",,Not Applicable,insufflated,,Male
49503,Methamphetamine,"Retrospective / Summary,Addiction & Habituation,Relationships,Hangover / Days After",,Not Applicable,insufflated,,Female
32196,Methamphetamine,"Retrospective / Summary,Health Problems,Addiction & Habituation,Relationships",,Not Applicable,insufflated,,Male
44754,"Cocaine,Pharms - Venlafaxine","Combinations,Retrospective / Summary,Depression",,Not Applicable,"oral,insufflated",,Male
51834,Pharms - Fentanyl,"General,Preparation / Recipes",,Small Group (2-9),insufflated,,Male
80908,Methylone,Health Problems,,Unknown Context,insufflated,,Male
51765,Inhalants,Retrospective / Summary,,Not Applicable,insufflated,,Male
22122,Amphetamines,Addiction & Habituation,,Various,insufflated,,Male
53497,"Cocaine,Heroin,Opiates,Pharms - Buprenorphine",Combinations,,Not Applicable,"oral,smoked,insufflated",,Male
54569,"Inhalants - Nitrites,Pharms - Methylphenidate","Combinations,Health Problems",,Not Applicable,"inhaled,insufflated",,Male
60366,Pharms - Risperidone,"General,Medical Use",,Not Applicable,IM,,Male
23306,Cocaine,"Retrospective / Summary,Train Wrecks & Trip Disasters,Addiction & Habituation,Relationships",,Not Applicable,IV,,Female
81746,"Heroin,Opiates","Retrospective / Summary,Addiction & Habituation,Therapeutic Intent or Outcome",,Unknown Context,IV,,Male
28870,"Cocaine,Heroin,Opiates,Various","Combinations,Retrospective / Summary,Addiction & Habituation,Overdose",,Not Applicable,"smoked,insufflated,IV",,Male
83301,Pharms - Methylphenidate,Retrospective / Summary,,Not Applicable,IV,,Male
50999,Salvia divinorum,"General,Retrospective / Summary,Mystical Experiences,Nature / Outdoors,Entities / Beings",Ritual,Various,sublingual,,Male
63565,Pharms - Buprenorphine,Medical Use,,Hospital,sublingual,,Male
55944,"Naloxone,Pharms - Buprenorphine","General,Combinations,Retrospective / Summary,Health Benefits",,Not Applicable,sublingual,,Male
57793,"Naloxone,Pharms - Buprenorphine",Medical Use,,Not Applicable,sublingual,,Male
25781,Salvia divinorum,Preparation / Recipes,,Not Applicable,sublingual,,Not-Specified
65224,MDMA,"Retrospective / Summary,Preparation / Recipes",,Not Applicable,"oral,smoked,insufflated,IV,rectal",,Male
61863,Pharms - Fentanyl,"Health Problems,Medical Use",,Not Applicable,transdermal,,Not-Specified
20426,Betel Nut,General,,Unknown Context,buccal,,Male
50110,LSD,Health Problems,,Not Applicable,"oral,ocular",,Male
101638,LSD,"General,Multi-Day Experience",,Alone,oral,No Effect,Male
60736,Various,First Times,,Alone,oral,No Effect,Male
50411,,General,Conferences,Festival / Lg. Crowd,,No Effect,Not-Specified
41823,,General,Drug Testing,Alone,,No Effect,Male
37135,"Mushrooms,Peyote",General,,Not Applicable,,No Effect,Female
7402,Ketamine,General,,Alone,insufflated,No Effect,Male
9184,Ayahuasca,"General,Train Wrecks & Trip Disasters",Yoga / Bodywork,Alone,oral,No Effect,Female
75,Morning Glory,"General,Preparation / Recipes",,Unknown Context,oral,No Effect,Not-Specified
2519,Chocolate,Health Problems,,Alone,oral,No Effect,Male
3821,Cannabis,General,Drug Testing,Alone,,No Effect,Male
2279,MDMA,Combinations,,Club / Bar,oral,No Effect,Male
1903,DXM,General,,Various,,No Effect,Not-Specified
79149,Calea zacatechichi,General,Dreams,Alone,,No Effect,Male
72680,Mimosa spp.,"General,Preparation / Recipes",,Alone,oral,No Effect,Male
78466,4-AcO-DMT,General,Police / Customs,Not Applicable,,No Effect,Male
65930,Amphetamines,Combinations,,Alone,"oral,insufflated",No Effect,Male
23265,Cannabis,Addiction & Habituation,,Various,smoked,No Effect,Male
32856,Pharms - Tramadol,"Combinations,Retrospective / Summary",,Various,oral,No Effect,Male
61659,DPT,"First Times,Nature / Outdoors",,Alone,"insufflated,rectal",No Effect,Male
34626,Alcohol,First Times,,Large Group (10+),oral,No Effect,Male
35570,,General,Drug Testing,Unknown Context,oral,No Effect,Female
49093,Cocaine,"Addiction & Habituation,Families,Second Hand Report",,Not Applicable,smoked,No Effect,Not-Specified
27419,Methamphetamine,Families,,Not Applicable,,No Effect,Not-Specified
51095,,General,Drug Testing,Not Applicable,,No Effect,Male
53339,,General,Drug Testing,Not Applicable,,No Effect,Male
50145,,Glowing Experiences,Conferences,Festival / Lg. Crowd,,No Effect,Not-Specified
